username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0325160,4,5.0,372,0,0,0,0
a0801269,0,0,0,70,0,0,0
a0625984,12,3.8,471,111,1,9.0,141
a0642656,0,0,0,72,0,0,0
a0360631,4,4.66666666667,65,14,0,0,0
a9717226,6,1.25,487,104,9,25.8888888889,264
a0551760,12,4.7,426,76,3,10.3333333333,98
a0205594,26,10.1,176,430,0,0,0
a0425776,16,5.55555555556,604,667,4,12.25,43
a0707489,20,8.5,909,313,6,25.6666666667,177
a0808804,0,0,0,0,2,39.0,171
a0427321,14,6.11111111111,459,910,4,21.5,98
a0847282,22,8.9,630,469,0,0,0
a0708404,16,7.6,18,68,12,30.5,0
a0808364,2,2.0,0,16,0,0,0
a0542912,18,9.22222222222,167,913,16,26.9375,353
a0803000,14,7.25,256,0,3,18.0,483
a0502414,16,5.66666666667,475,840,8,20.75,84
a0509842,14,7.88888888889,1052,32,0,0,0
a0601848,4,1.5,341,144,0,0,0
a0327315,14,5.0,239,73,0,0,0
a0416460,20,7.7,501,913,2,17.5,206
a0805991,8,5.0,542,350,4,5.75,748
a0804533,18,6.9,286,64,2,28.0,116
a0804532,4,1.6,2284,0,0,0,0
a0409867,10,4.0,705,7,0,0,0
a0802016,6,4.28571428571,3026,505,4,30.5,27
a0427690,12,7.5,509,21,0,0,0
a0527563,4,2.5,333,4,0,0,0
a0647997,14,8.375,372,668,24,10.9166666667,105
a0453139,2,1.5,333,6,0,0,0
a0548450,26,11.0,250,915,7,16.0,100
a0547047,4,6.28571428571,390,138,0,0,0
a0551984,2,4.75,865,8,0,0,0
a0847198,24,9.9,358,333,15,6.66666666667,35
a0026862,24,13.1,115,913,0,0,0
a0805565,12,4.0,467,105,1,12.0,1620
a9826273,18,8.9,107,777,33,15.5151515152,134
a0325144,14,6.375,853,219,2,18.0,137
a0627874,18,8.5,248,549,5,19.8,870
a0447266,0,2.0,0,0,0,0,0
a0301725,20,7.42857142857,247,279,1,18.0,0
a8400637,18,6.2,423,279,0,0,0
a9305196,8,7.0,262,258,2,28.0,128
a0703839,16,6.77777777778,2806,67,1,11.0,217
a0553266,20,6.77777777778,409,441,10,21.1,140
a0648095,20,9.4,534,464,1,24.0,486
a0804232,22,6.875,659,915,1,0.0,398
a0801173,16,7.375,610,9,0,0,0
a0704007,6,7.0,210,52,0,0,0
a0548678,20,8.9,67,141,0,0,0
a0405013,26,9.7,444,913,14,16.8571428571,23
a0303089,4,2.375,250,60,0,0,0
a0802983,0,0,0,108,0,0,0
a0307469,16,6.875,1512,135,0,0,0
a0552107,2,1.0,510,1,0,0,0
a0846546,22,5.625,462,140,0,0,0
a0648613,6,4.77777777778,320,283,0,0,0
a9625604,12,6.0,77,910,2,17.5,841
a0808429,0,1.57142857143,104,216,1,40.0,208
a0749463,14,7.71428571429,1062,244,0,0,0
a9171312,2,1.8,0,18,1,41.0,77
a0427376,6,5.625,95,14,0,0,0
a0808420,16,6.9,443,567,2,6.5,94
a0603648,4,5.33333333333,361,910,4,28.5,284
a0807000,0,0,0,64,0,0,0
a0226869,14,7.0,493,264,9,3.22222222222,0
a0847929,28,9.9,673,211,5,8.4,114
a0553253,10,6.57142857143,529,225,13,23.3846153846,468
a0806308,2,2.57142857143,410,18,0,0,0
a0709880,12,7.1,241,27,0,0,0
a0707050,0,0,554,44,0,0,0
a0652049,20,7.44444444444,519,240,0,0,0
a0808916,2,2.125,441,128,0,0,0
