username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0807815,12,6.77777777778,1611,850,9,16.6666666667,356
a0627517,0,2.2,518,102,0,0,0
a0709904,12,3.6,48,0,0,0,0
a0748986,4,4.375,381,139,0,0,0
a0127081,2,4.6,639,42,3,6.66666666667,146
a0427368,4,1.0,0,1,0,0,0
a0705166,10,3.22222222222,1066,203,0,0,0
a0227093,4,3.625,1732,54,0,0,0
a0607870,18,8.1,330,81,0,0,0
a0727356,24,7.25,527,21,0,0,0
a0453511,12,7.66666666667,63,673,4,20.75,269
a0327349,16,5.88888888889,310,96,0,0,0
a0547157,2,1.0,511,4,0,0,0
a0547718,12,6.5,482,143,1,36.0,498
a0548657,8,3.0,186,20,0,0,0
a0801322,20,11.1,2545,178,0,0,0
a0806058,22,11.6,325,482,2,0.0,193
a0752758,22,8.875,20,548,10,27.6,1147
a0247800,14,7.5,282,622,3,34.6666666667,49
a0727938,22,6.33333333333,338,260,5,33.8,0
a0427717,18,8.42857142857,385,139,0,0,0
a0602891,12,7.2,509,294,1,13.0,135
a0152012,4,5.5,245,802,2,36.0,424
a0427390,16,8.28571428571,330,129,0,0,0
a0749440,20,8.7,391,684,5,16.8,0
a0804579,26,11.0,303,893,39,16.4871794872,206
a0647160,22,9.5,289,670,47,17.8936170213,78
a0660063,16,5.88888888889,593,141,2,25.5,304
a0802359,18,7.22222222222,244,388,25,9.72,101
a0847411,2,1.0,0,31,0,0,0
a0807472,6,2.57142857143,369,74,3,19.0,315
a0351972,2,4.0,377,154,0,0,0
a0847653,2,4.33333333333,0,42,0,0,0
a9948611,16,6.55555555556,272,53,0,0,0
a0501787,18,10.375,315,800,13,19.9230769231,97
a0848375,0,0,0,42,0,0,0
a9927015,0,4.0,635,0,0,0,0
a0609887,12,8.42857142857,337,578,3,20.6666666667,213
a0508819,16,7.0,194,353,0,0,0
a0748908,2,2.0,402,1,0,0,0
a0109717,4,4.5,2830,44,0,0,0
a8326942,26,9.66666666667,243,913,6,10.1666666667,27
a0704017,14,9.33333333333,894,759,55,15.1454545455,839
a0627993,0,3.2,519,39,0,0,0
a0700890,8,4.5,468,30,3,7.0,229
a0708589,14,6.375,342,257,1,29.0,107
a0708587,6,3.85714285714,481,422,6,22.8333333333,38
a0807281,22,7.5,441,68,1,23.0,0
a0800744,6,3.75,923,817,0,0,0
a0703208,20,6.33333333333,248,499,0,0,0
a0626238,16,4.16666666667,247,102,1,20.0,152
a0726654,26,8.22222222222,281,59,0,0,0
a0648707,2,5.0,446,3,0,0,0
a0604799,16,7.6,2171,688,13,26.8461538462,2365
a0504235,24,9.2,28,342,0,0,0
a0804542,4,2.5,803,22,0,0,0
a0625844,4,4.57142857143,616,239,0,0,0
a0002696,2,1.75,0,25,0,0,0
a0527633,10,8.57142857143,86,7,0,0,0
a0153133,8,2.0,458,130,0,0,0
a0809593,24,7.57142857143,412,110,0,0,0
a0409337,0,1.2,423,18,0,0,0
a0508209,18,6.0,583,5,0,0,0
a0109721,2,3.0,1896,0,0,0,0
a0801603,8,2.8,1990,112,0,0,0
a0628023,16,8.5,48,207,0,0,0
a0026729,4,2.6,589,331,0,0,0
a0053513,14,8.22222222222,562,913,1,35.0,165
a0800120,20,5.9,346,172,2,0.0,522
a0806075,0,1.0,0,0,0,0,0
a0805002,14,7.875,249,227,0,0,0
a0627554,20,7.375,246,0,0,0,0
a0804792,8,4.25,548,61,0,0,0
a0427377,4,5.5,887,41,1,28.0,79
a0803323,2,0,0,0,0,0,0
a0725454,6,4.0,438,60,0,0,0
a0642127,26,8.4,754,25,0,0,0
a0302376,24,9.8,143,257,13,13.0,0
a0609260,2,1.0,322,39,0,0,0
a0803081,22,10.8,260,913,11,18.3636363636,27
a0227118,8,4.57142857143,798,0,0,0,0
a0706011,16,9.66666666667,422,338,1,23.0,396
a0127310,0,1.42857142857,509,8,0,0,0
a0525659,0,4.5,146,67,1,40.0,117
a0309157,6,2.875,827,91,1,19.0,0
a0808547,16,8.7,808,493,12,12.0,336
a0808545,18,8.57142857143,244,415,28,3.89285714286,137
a0700869,2,5.0,605,52,0,0,0
a0605890,0,0,0,12,0,0,0
a0640030,0,1.0,0,11,0,0,0
a0504287,6,2.0,510,33,0,0,0
a0725961,14,6.875,344,75,1,41.0,124
a0700866,18,7.0,632,61,0,0,0
a0726319,4,0,1128,17,0,0,0
a0809260,2,1.5,352,88,2,0.0,844
a0749868,4,3.16666666667,369,80,0,0,0
