username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0651610,0,1.78181818182,198,19,0,0,0
a0504661,0,1.86666666667,89,178,0,0,0
a0604799,0,2.32584269663,198,85,0,0,0
a1007378,0,0,0,0,0,0,0
a0903060,0,2.15714285714,159,108,0,0,0
a0803820,0,1.640625,159,86,0,0,0
a0851619,0,1.6976744186,197,25,0,0,0
a0426895,0,1.52542372881,191,20,2,21.5,353
a0900706,0,2.18604651163,511,68,1,21.0,53
a0609260,0,1.45,198,21,0,0,0
a1047137,0,2.34210526316,255,114,0,0,0
a0900078,0,1.94642857143,83,150,2,24.0,0
a1046719,0,2.52272727273,199,231,0,0,0
a0900075,0,1.89830508475,102,120,2,0.0,409
a0909510,0,1.84482758621,85,32,0,0,0
a1048084,0,0,120,62,0,0,0
a0500549,0,1.83050847458,182,205,0,0,0
a1047330,0,0,0,0,0,0,0
a0906074,0,2.19101123596,326,11,1,40.0,248
a9847977,0,1.86666666667,141,229,7,22.4285714286,345
a0967774,0,0,0,0,0,0,0
a0607046,0,1.96385542169,159,163,8,13.625,62
a0748762,0,1.70408163265,198,148,0,0,0
a0828609,0,2.25581395349,32,2,0,0,0
a0800120,0,1.81666666667,106,122,2,21.0,273
a0648196,0,1.82051282051,76,18,0,0,0
a0800759,0,1.0,1157,21,0,0,0
a1046490,0,1.82352941176,328,230,0,0,0
a0642127,0,2.21686746988,211,3,0,0,0
a0827583,0,0,0,3,1,10.0,149
a0804258,0,1.82291666667,198,82,0,0,0
a0907112,0,1.0,0,37,0,0,0
a1001891,0,0,0,0,0,0,0
a0347735,0,0,0,0,0,0,0
a0809192,0,0,0,7,0,0,0
a1009464,0,1.0,315,64,0,0,0
a1000312,0,2.36842105263,415,30,0,0,0
a0808547,0,1.64406779661,31,169,4,18.25,267
a0904164,0,2.24358974359,159,218,9,19.4444444444,330
a1006494,0,2.59302325581,502,70,4,8.0,0
a1046112,0,2.17808219178,348,88,0,0,0
a1005320,0,2.0487804878,61,11,0,0,0
a0002380,0,0,0,0,0,0,0
a0926601,0,2.38554216867,284,14,0,0,0
a0726362,0,0,0,43,2,15.0,294
a1006799,0,2.28571428571,43,47,0,0,0
a0806960,0,3.0,82,17,0,0,0
a0560628,0,1.86842105263,142,62,1,28.0,550
a0500355,0,1.64102564103,327,39,0,0,0
a1047105,0,2.2375,449,55,0,0,0
