username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0509867,0,1.83333333333,0,0,1,17.0,121
a0549646,0,1.0,0,6,0,0,0
a0447815,0,2.47826086957,0,33,1,26.0,257
a0307033,0,1.0,0,10,0,0,0
a0509857,0,0,0,26,0,0,0
a9927115,0,1.0,0,26,0,0,0
a0604245,0,1.0,0,16,0,0,0
a0547590,0,2.08181818182,0,14,0,0,0
a0348510,0,1.0,0,26,0,0,0
a0225100,0,1.41025641026,0,33,3,13.0,407
a0106489,0,2.27976190476,0,33,9,23.1111111111,1228
a0508172,0,2.84269662921,0,33,2,27.0,288
a0500725,0,1.93333333333,0,33,3,6.0,2048
a0248717,0,1.0,0,6,1,19.0,286
