service,course_id,user_id,plus_date
Abgabe,5,a0800744,2009-03-16
Abgabe,5,a0800744,2009-03-23
Abgabe,5,a0800744,2009-03-30
Abgabe,5,a0800744,2009-04-20
Abgabe,5,a0800744,2009-04-27
Abgabe,5,a0800744,2009-05-04
Abgabe,5,a0800744,2009-05-18
Abgabe,5,a0800744,2009-05-25
Abgabe,5,a0800744,2009-06-22
Abgabe,5,a0601426,2009-03-16
Abgabe,5,a0601426,2009-03-23
Abgabe,5,a0601426,2009-03-30
Abgabe,5,a0601426,2009-04-20
Abgabe,5,a0601426,2009-04-27
Abgabe,5,a0601426,2009-05-04
Abgabe,5,a0601426,2009-05-11
Abgabe,5,a0601426,2009-05-18
Abgabe,5,a0601426,2009-05-25
Abgabe,5,a0601426,2009-06-08
Abgabe,5,a0601426,2009-06-15
Abgabe,5,a0609260,2009-03-16
Abgabe,5,a0505506,2009-03-16
Abgabe,5,a0505506,2009-03-30
Abgabe,5,a0505506,2009-04-20
Abgabe,5,a0725454,2009-03-16
Abgabe,5,a0725454,2009-03-23
Abgabe,5,a0725454,2009-04-20
Abgabe,5,a0725454,2009-05-04
Abgabe,5,a0725454,2009-05-11
Abgabe,5,a0725454,2009-05-18
Abgabe,5,a0725454,2009-05-25
Abgabe,5,a0725454,2009-06-22
Abgabe,5,a0648613,2009-03-16
Abgabe,5,a0648613,2009-03-23
Abgabe,5,a0648613,2009-03-30
Abgabe,5,a0648613,2009-04-20
Abgabe,5,a0648613,2009-04-27
Abgabe,5,a0648613,2009-05-04
Abgabe,5,a0648613,2009-05-18
Abgabe,5,a0648613,2009-05-25
Abgabe,5,a0648613,2009-06-08
Abgabe,5,a0648613,2009-06-15
Abgabe,5,a0552107,2009-03-23
Abgabe,5,a0552107,2009-03-30
Abgabe,5,a8708935,2009-03-16
Abgabe,5,a8708935,2009-03-23
Abgabe,5,a8708935,2009-03-30
Abgabe,5,a8708935,2009-04-20
Abgabe,5,a8708935,2009-04-27
Abgabe,5,a8708935,2009-05-04
Abgabe,5,a8708935,2009-05-11
Abgabe,5,a8708935,2009-05-18
Abgabe,5,a8708935,2009-05-25
Abgabe,5,a8708935,2009-06-08
Abgabe,5,a8708935,2009-06-15
Abgabe,5,a8708935,2009-06-22
Abgabe,5,a8708935,2009-06-22
Abgabe,5,a0847096,2009-03-16
Abgabe,5,a0847096,2009-03-23
Abgabe,5,a0847096,2009-03-30
Abgabe,5,a0847096,2009-04-20
Abgabe,5,a0847096,2009-04-27
Abgabe,5,a0847096,2009-05-04
Abgabe,5,a0847096,2009-05-11
Abgabe,5,a0847096,2009-05-18
Abgabe,5,a0847096,2009-06-22
Abgabe,5,a0847096,2009-06-22
Abgabe,5,a0547047,2009-03-16
Abgabe,5,a0547047,2009-03-23
Abgabe,5,a0547047,2009-03-30
Abgabe,5,a0547047,2009-05-04
Abgabe,5,a0547047,2009-05-11
Abgabe,5,a0547047,2009-05-18
Abgabe,5,a0547047,2009-05-25
Abgabe,5,a0547047,2009-06-15
Abgabe,5,a0547047,2009-06-22
Abgabe,5,a0547047,2009-06-22
Abgabe,5,a0409337,2009-03-16
Abgabe,5,a0700869,2009-03-16
Abgabe,5,a0700869,2009-03-30
Abgabe,5,a0700869,2009-04-27
Abgabe,5,a9171312,2009-03-16
Abgabe,5,a9171312,2009-05-11
Abgabe,5,a0826379,2009-03-16
Abgabe,5,a0826379,2009-03-23
Abgabe,5,a0826379,2009-03-30
Abgabe,5,a0826379,2009-04-20
Abgabe,5,a0826379,2009-04-27
Abgabe,5,a0826379,2009-05-04
Abgabe,5,a0826379,2009-05-11
Abgabe,5,a0826379,2009-05-18
Abgabe,5,a0826379,2009-05-25
Abgabe,5,a0826379,2009-06-08
Abgabe,5,a0826379,2009-06-15
Abgabe,5,a0826379,2009-06-22
Abgabe,5,a0826379,2009-06-22
Abgabe,5,a0601848,2009-03-16
Abgabe,5,a0601848,2009-03-23
Abgabe,5,a0601848,2009-03-30
Abgabe,5,a0601848,2009-04-27
Abgabe,5,a0601848,2009-05-11
Abgabe,5,a0601848,2009-05-25
Abgabe,5,a0602891,2009-03-16
Abgabe,5,a0602891,2009-03-23
Abgabe,5,a0602891,2009-03-30
Abgabe,5,a0602891,2009-05-04
Abgabe,5,a0602891,2009-05-11
Abgabe,5,a0602891,2009-05-25
Abgabe,5,a0849076,2009-03-16
Abgabe,5,a0849076,2009-03-23
Abgabe,5,a0849076,2009-03-30
Abgabe,5,a0849076,2009-05-04
Abgabe,5,a0416460,2009-03-16
Abgabe,5,a0416460,2009-03-23
Abgabe,5,a0416460,2009-03-30
Abgabe,5,a0416460,2009-04-20
Abgabe,5,a0416460,2009-04-27
Abgabe,5,a0416460,2009-05-04
Abgabe,5,a0416460,2009-05-11
Abgabe,5,a0416460,2009-05-18
Abgabe,5,a0416460,2009-05-25
Abgabe,5,a0416460,2009-06-08
Abgabe,5,a9927015,2009-03-16
Abgabe,5,a9927015,2009-03-30
Abgabe,5,a9927015,2009-05-04
Abgabe,5,a9927015,2009-05-11
Abgabe,5,a9927015,2009-05-25
Abgabe,5,a9927015,2009-06-15
Abgabe,5,a9927015,2009-06-22
Abgabe,5,a9927015,2009-06-22
Abgabe,5,a0623631,2009-03-19
Abgabe,5,a0623631,2009-03-26
Abgabe,5,a0848673,2009-03-19
Abgabe,5,a0848673,2009-03-26
Abgabe,5,a0848673,2009-04-23
Abgabe,5,a0848673,2009-04-30
Abgabe,5,a7904809,2009-03-19
Abgabe,5,a7904809,2009-03-26
Abgabe,5,a7904809,2009-04-23
Abgabe,5,a7904809,2009-04-02
Abgabe,5,a7904809,2009-04-30
Abgabe,5,a7904809,2009-05-07
Abgabe,5,a7904809,2009-05-14
Abgabe,5,a7904809,2009-05-28
Abgabe,5,a7904809,2009-06-11
Abgabe,5,a7904809,2009-06-18
Abgabe,5,a7904809,2009-06-18
Abgabe,5,a0628166,2009-03-26
Abgabe,5,a0628166,2009-03-19
Abgabe,5,a0628166,2009-04-23
Abgabe,5,a0628166,2009-04-30
Abgabe,5,a0628166,2009-05-14
Abgabe,5,a0628166,2009-05-21
Abgabe,5,a0628166,2009-05-28
Abgabe,5,a0628166,2009-06-18
Abgabe,5,a0628166,2009-06-18
Abgabe,5,a0625899,2009-03-19
Abgabe,5,a0625899,2009-03-26
Abgabe,5,a0600689,2009-03-19
Abgabe,5,a0600689,2009-03-26
Abgabe,5,a0600689,2009-04-23
Abgabe,5,a0600689,2009-04-30
Abgabe,5,a0600689,2009-05-07
Abgabe,5,a0600689,2009-05-14
Abgabe,5,a0600689,2009-05-21
Abgabe,5,a0600689,2009-05-28
Abgabe,5,a0600689,2009-06-18
Abgabe,5,a0600689,2009-06-18
Abgabe,5,a052,2009-03-19
Abgabe,5,a0804542,2009-03-19
Abgabe,5,a0804542,2009-04-02
Abgabe,5,a0804542,2009-04-30
Abgabe,5,a0605890,2009-03-19
Abgabe,5,a0642656,2009-03-18
Abgabe,5,a0701571,2009-03-18
Abgabe,5,a0701571,2009-03-25
Abgabe,5,a0701571,2009-04-22
Abgabe,5,a0701571,2009-04-29
Abgabe,5,a0701571,2009-05-06
Abgabe,5,a0701571,2009-05-13
Abgabe,5,a0701571,2009-05-20
Abgabe,5,a0701571,2009-05-27
Abgabe,5,a0701571,2009-06-10
Abgabe,5,a0701571,2009-06-17
Abgabe,5,a0701571,2009-06-24
Abgabe,5,a0701571,2009-06-24
Abgabe,5,a0708587,2009-03-18
Abgabe,5,a0708587,2009-03-25
Abgabe,5,a0708587,2009-04-22
Abgabe,5,a0708587,2009-05-06
Abgabe,5,a0748908,2009-03-18
Abgabe,5,a0403595,2009-03-18
Abgabe,5,a0403595,2009-03-25
Abgabe,5,a0403595,2009-04-01
Abgabe,5,a0403595,2009-04-22
Abgabe,5,a0403595,2009-04-29
Abgabe,5,a0403595,2009-05-06
Abgabe,5,a0403595,2009-05-13
Abgabe,5,a0403595,2009-05-20
Abgabe,5,a0403595,2009-05-27
Abgabe,5,a0403595,2009-06-10
Abgabe,5,a0403595,2009-06-17
Abgabe,5,a0403595,2009-06-24
Abgabe,5,a0403595,2009-06-24
Abgabe,5,a0403595,2009-06-24
Abgabe,5,a0848148,2009-03-18
Abgabe,5,a0709904,2009-03-18
Abgabe,5,a0709904,2009-03-25
Abgabe,5,a0709904,2009-04-01
Abgabe,5,a0709904,2009-05-06
Abgabe,5,a0709904,2009-05-13
