username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0347426,0,0,0,2,0,0,0
a0749531,0,2.72,0,65,0,0,0
a0127158,0,1.14285714286,0,49,0,0,0
a0500725,0,2.68181818182,0,65,16,19.1875,518
a9926034,0,0,0,0,0,0,0
a0127319,0,2.08,0,54,0,0,0
a0303544,0,1.0,0,20,0,0,0
a0302826,0,1.0,0,16,0,0,0
a0248717,0,2.32142857143,0,32,0,0,0
a0442013,0,0,0,0,0,0,0
a0206728,0,1.52941176471,0,28,0,0,0
a0648715,0,2.02702702703,0,56,11,19.6363636364,50
a0749440,0,1.94117647059,0,65,9,16.7777777778,559
a0604245,0,1.93333333333,0,50,1,13.0,80
a0509282,0,0,0,0,0,0,0
a0500549,0,1.78571428571,0,65,1,16.0,125
a0707698,0,1.93333333333,0,65,11,21.3636363636,64
a0508791,0,1.65384615385,0,65,1,27.0,812
a0902012,0,1.0,0,13,0,0,0
a9950871,0,0,0,0,0,0,0
a0809463,0,1.58928571429,0,65,0,0,0
a0548450,0,1.78571428571,0,65,0,0,0
a0847198,0,1.42307692308,0,38,2,11.0,142
a0026862,0,2.05,0,65,1,35.0,41
