username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0552107,4,2.33333333333,2242,3,0,0,0
a0649474,0,0,0,15,0,0,0
a0806960,0,2.0,0,0,0,0,0
a0848673,8,3.11111111111,1528,41,0,0,0
a0708587,8,5.0,574,140,16,9.625,440
a0806719,18,6.875,660,142,9,16.7777777778,12
a0800744,18,4.3,807,142,0,0,0
a0801553,4,1.28571428571,79,13,0,0,0
a0709904,10,4.0,647,56,3,5.0,229
a0826379,26,9.6,394,117,0,0,0
a0642624,0,0,0,0,0,0,0
a0416460,20,8.2,807,142,0,0,0
a0547047,20,6.4,540,142,0,0,0
a0848981,0,1.0,0,0,0,0,0
a0748882,2,1.6,322,12,0,0,0
a0803020,0,0,0,0,0,0,0
a0609260,2,1.14285714286,1331,0,0,0,0
a9171312,4,1.3,497,0,0,0,0
a0804542,6,3.6,641,74,4,5.25,0
a0749727,0,0,0,5,0,0,0
a0623631,4,1.5,784,16,0,0,0
a0808364,12,5.125,251,24,0,0,0
a0849076,8,2.42857142857,1120,77,0,0,0
a0849264,0,1.0,1107,12,0,0,0
a0848977,0,0,0,4,0,0,0
a0601426,22,10.4,256,142,11,17.8181818182,184
a0848645,28,7.44444444444,393,78,0,0,0
a0701571,24,8.5,1125,95,0,0,0
a0628166,18,7.33333333333,609,141,11,22.6363636364,29
a0849311,0,0,0,29,0,0,0
a0804792,10,5.9,1125,13,0,0,0
a0803615,0,0,0,2,0,0,0
a0725592,4,3.8,372,9,0,0,0
a0725454,16,6.0,807,45,0,0,0
a0403595,28,10.9,275,142,2,6.5,358
a0602891,12,6.25,1092,134,0,0,0
a0601848,12,4.44444444444,1510,32,0,0,0
a0409337,2,3.375,763,46,0,0,0
a0505506,6,1.55555555556,628,0,0,0,0
a0605890,2,2.625,675,72,3,20.0,203
a0805565,4,2.75,724,8,3,7.66666666667,167
a0805991,22,6.7,334,142,3,2.66666666667,541
a0642656,2,1.625,923,49,2,19.5,62
a0625899,4,2.2,372,85,0,0,0
a0601298,8,4.8,1697,15,0,0,0
a0847411,4,2.16666666667,440,15,0,0,0
a7904809,22,8.7,485,25,0,0,0
a0603648,20,6.8,52,142,3,9.66666666667,88
a0700869,6,4.77777777778,469,60,2,40.0,157
a0848148,2,2.28571428571,407,8,0,0,0
a0821669,12,5.55555555556,533,53,0,0,0
a0850626,2,2.0,283,16,0,0,0
a0808821,0,1.0,0,0,0,0,0
a0848375,4,4.25,479,95,0,0,0
a0815197,22,8.2,431,142,1,5.0,252
a0648613,20,6.0,1049,64,0,0,0
a9906628,18,7.1,1020,122,1,0.0,0
a8708935,26,9.5,551,142,0,0,0
a0748868,2,2.0,553,4,0,0,0
a0849485,8,3.5,794,92,0,0,0
a0821707,16,5.4,267,142,0,0,0
a0748908,2,1.83333333333,1423,22,0,0,0
a9927015,16,5.3,331,14,0,0,0
a0600689,20,7.4,2385,6,0,0,0
a0807000,0,1.0,282,7,0,0,0
a0847096,20,7.75,894,58,0,0,0
