service,course_id,kurs,semester,description,user_id,plus_date
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0527563,2008-10-21
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0803000,2009-01-26
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0803000,2008-12-15
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0803000,2008-11-24
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0803000,2008-11-10
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0803000,2008-11-03
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0803000,2008-10-28
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0803000,2008-10-21
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427390,2009-01-12
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427390,2008-12-15
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427390,2008-11-24
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427390,2008-11-17
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427390,2008-11-10
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427390,2008-11-03
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427390,2008-10-28
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427390,2008-10-21
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0604799,2009-01-19
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0604799,2009-01-12
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0604799,2008-12-01
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0604799,2008-11-24
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0604799,2008-11-10
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0604799,2008-11-03
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0604799,2008-10-28
