username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0705638,0,4.21428571429,284,578,2,37.5,168
a0347426,0,1.0,788,0,0,0,0
a0356291,0,4.30769230769,310,41,0,0,0
a0707489,0,3.33333333333,147,154,5,19.4,14
a0427321,0,2.0,989,606,4,21.0,533
a0807629,0,1.0,1627,31,0,0,0
a0847282,0,3.4,1695,240,0,0,0
a0005862,0,4.0,129,560,0,0,0
a0803000,0,1.0,965,0,2,13.0,363
a0848645,0,4.71428571429,151,360,0,0,0
a0448711,0,2.46666666667,149,21,2,35.0,81
a0603666,0,3.0,162,618,14,22.7142857143,138
a0607375,0,0,305,311,0,0,0
a0808420,0,2.0,42,305,0,0,0
a9708276,0,4.2,385,176,20,18.4,118
a0548450,0,4.13333333333,329,593,4,8.75,534
a0547047,0,4.0,391,290,3,15.0,0
a0847198,0,3.64705882353,1370,23,2,31.5,0
a0701760,0,3.53333333333,2308,310,1,34.0,166
a0407850,0,0,676,10,0,0,0
a0325144,0,0,0,7,0,0,0
a0867890,0,2.72727272727,300,46,0,0,0
a0648267,0,4.21428571429,778,126,7,19.8571428571,176
a0501357,0,3.33333333333,413,21,3,33.0,76
a0703839,0,1.0,7,468,0,0,0
a9071433,0,3.61538461538,661,130,1,4.0,0
a0604741,0,4.0,885,146,0,0,0
a0548944,0,2.30769230769,821,475,9,20.5555555556,303
a7904809,0,0,48,60,0,0,0
a0648095,0,1.0,41,293,1,45.0,46
a0801173,0,1.0,868,101,0,0,0
a0704007,0,3.83333333333,188,48,1,25.0,77
a0405013,0,1.33333333333,3750,188,1,11.0,62
a0802983,0,0,0,210,0,0,0
a7111759,0,0,1529,113,1,25.0,84
a0849579,0,0,0,106,1,25.0,154
a0648613,0,3.69230769231,1167,141,0,0,0
a0726654,0,0,148,29,0,0,0
a0826379,0,2.25,884,618,2,16.0,326
a0627517,0,0,0,90,0,0,0
a9925852,0,3.8,187,618,91,27.5934065934,1358
a0526809,0,0,0,2,0,0,0
a0847929,0,4.8,248,261,8,15.75,236
a0701202,0,4.0,879,275,15,21.6666666667,45
a0708004,0,2.69230769231,609,618,34,18.3823529412,169
a0821707,0,0,804,447,0,0,0
a0652049,0,0,457,145,1,11.0,338
a0301535,0,0,0,17,0,0,0
a0728269,0,0,0,9,0,0,0
a0707445,0,0,0,8,0,0,0
a0103405,0,0,408,612,29,26.6896551724,332
a9925868,0,0,274,509,0,0,0
a0308346,0,2.0,248,228,0,0,0
a0747243,0,1.0,872,244,0,0,0
a0548657,0,3.14285714286,902,4,2,13.0,166
a0801322,0,2.0,7,266,4,26.5,292
a0749440,0,2.0,888,480,8,19.25,240
a0804579,0,4.93333333333,162,546,36,20.75,0
a8708935,0,5.46666666667,292,618,4,23.5,247
a0802359,0,2.0,164,435,7,17.4285714286,105
a9109706,0,0,84,290,3,25.0,163
a0608928,0,2.64285714286,2195,73,0,0,0
a0351972,0,4.07142857143,263,89,1,45.0,92
a0701571,0,4.93333333333,198,348,3,32.6666666667,676
a0207445,0,2.0,1095,116,1,15.0,96
a0549646,0,0,437,63,3,8.33333333333,544
a0627874,0,0,175,253,0,0,0
a0303939,0,0,0,0,0,0,0
a8326942,0,0,0,5,0,0,0
a0607133,0,3.5,7,96,0,0,0
a0704017,0,5.0,885,513,36,27.9444444444,0
a0607870,0,1.0,116,168,1,25.0,92
a0708587,0,3.33333333333,143,182,8,22.0,68
a0703445,0,3.38461538462,1430,85,1,45.0,117
a0749531,0,2.5,885,395,1,31.0,93
a0702950,0,0,218,26,0,0,0
a9208263,0,0,0,1,0,0,0
a0648707,0,2.66666666667,1079,57,0,0,0
a0208319,0,4.16666666667,282,71,1,25.0,91
a0809593,0,4.33333333333,194,76,0,0,0
a0348292,0,5.91666666667,122,110,1,45.0,111
a0801603,0,2.0,879,294,0,0,0
a0053513,0,2.0,257,553,0,0,0
a0805002,0,2.0,9,153,0,0,0
a0627554,0,4.0,1702,0,0,0,0
a0725454,0,2.0,29,319,9,11.3333333333,88
a0302376,0,5.0,891,233,21,7.57142857143,352
a0803081,0,4.0,879,618,2,33.0,272
a0706011,0,4.07142857143,148,224,0,0,0
a0808545,0,3.0,27,444,19,5.31578947368,2322
a0752758,0,3.0,28,320,5,16.4,84
a9950871,0,0,164,13,0,0,0
a0809463,0,5.0,89,445,1,24.0,215
a0327358,0,1.0,0,7,0,0,0
a0815197,0,2.25,16,600,4,23.0,36
a0700866,0,2.0,7,101,7,0.0,0
a0702407,0,1.0,116,21,1,25.0,72
a0307851,0,0,459,131,2,33.0,228
a0009644,0,5.25,228,40,0,0,0
a0903586,0,1.0,1080,79,0,0,0
