username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0607870,0,0,0,6,0,0,0
a0849311,0,0,0,6,0,0,0
a0947209,0,0,0,50,0,0,0
a0749531,0,0,0,50,0,0,0
a0702950,0,0,0,19,0,0,0
a1008470,0,0,0,24,0,0,0
a0948400,0,0,0,9,0,0,0
a0411651,0,0,0,18,0,0,0
a0508895,0,0,0,50,1,13.0,117
a1001880,0,0,0,30,2,8.0,0
a0901082,0,0,0,7,0,0,0
a0801998,0,0,0,50,5,33.0,18
a0848752,0,0,0,2,0,0,0
a0609260,0,0,0,33,0,0,0
a1007686,0,0,0,29,0,0,0
a0500549,0,0,0,35,0,0,0
a1046455,0,0,0,44,0,0,0
a1048183,0,0,0,45,0,0,0
a0848445,0,0,0,2,0,0,0
a0807706,0,0,0,20,0,0,0
a0806937,0,0,0,35,1,26.0,168
a0801984,0,0,0,5,0,0,0
a0926601,0,0,0,14,0,0,0
a0967774,0,0,0,11,0,0,0
a1005281,0,0,0,56,2,21.5,176
a0801603,0,0,0,47,0,0,0
a0308641,0,0,0,23,0,0,0
a1007950,0,0,0,38,1,26.0,84
a9708276,0,0,0,22,0,0,0
a0648196,0,0,0,27,3,13.0,116
a0805002,0,0,0,12,1,7.0,123
a0840462,0,0,0,56,1,45.0,152
a1046301,0,0,0,15,0,0,0
a0825083,0,0,0,50,0,0,0
a0801322,0,0,0,56,0,0,0
a0854644,0,0,0,27,0,0,0
a9913255,0,0,0,30,1,8.0,127
a0602891,0,0,0,35,0,0,0
a0625453,0,0,0,50,0,0,0
a0409867,0,0,0,1,0,0,0
a0727938,0,0,0,37,0,0,0
a1046490,0,0,0,56,2,20.0,80
a0426895,0,0,0,9,0,0,0
a0804045,0,0,0,35,1,38.0,330
a1048113,0,0,0,29,0,0,0
a0749440,0,0,0,50,3,7.66666666667,248
a0553253,0,0,0,25,0,0,0
a0805991,0,0,0,14,1,0.0,0
a0601848,0,0,0,36,0,0,0
a0660063,0,0,0,17,0,0,0
a1009697,0,0,0,20,2,24.5,238
a0642656,0,0,0,50,0,0,0
a0406273,0,0,0,47,2,23.5,240
a0825261,0,0,0,3,0,0,0
a1000312,0,0,0,39,0,0,0
a0651610,0,0,0,20,0,0,0
a0904164,0,0,0,18,0,0,0
a1006494,0,0,0,1,0,0,0
a0809068,0,0,0,56,0,0,0
a1047105,0,0,0,33,2,29.0,312
a0809463,0,0,0,50,0,0,0
a0909811,0,0,0,56,0,0,0
a0706011,0,0,0,19,0,0,0
a0442189,0,0,0,5,0,0,0
a0725571,0,0,0,7,0,0,0
a0548450,0,0,0,54,1,45.0,371
a1008192,0,0,0,10,0,0,0
a0907112,0,0,0,50,0,0,0
a8302652,0,0,0,22,0,0,0
a1046662,0,0,0,4,0,0,0
a8708935,0,0,0,56,0,0,0
a0709880,0,0,0,20,0,0,0
a9171312,0,0,0,9,0,0,0
a0903622,0,0,0,56,1,6.0,87
a0331060,0,0,0,25,2,24.0,1019
a0327191,0,0,0,20,0,0,0
a1026386,0,0,0,56,4,29.0,121
a0947423,0,0,0,2,0,0,0
a0947444,0,0,0,53,0,0,0
a0607046,0,0,0,43,4,16.5,184
