username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0806960,2,1.16666666667,437,11,0,0,0
a0804792,22,7.57142857143,529,6,0,0,0
a0749417,4,4.2,505,20,0,0,0
a0948400,20,8.0,433,69,0,0,0
a0411651,20,4.57142857143,503,53,0,0,0
a0903060,0,0,0,3,0,0,0
a0927643,24,9.44444444444,546,63,0,0,0
a9999970,0,0,0,1,0,0,0
a0900706,4,2.3,427,0,0,0,0
a0968174,22,5.6,1016,89,0,0,0
a0900079,8,4.0,446,0,0,0,0
a9451075,14,3.33333333333,412,60,0,0,0
a0848445,8,7.83333333333,566,128,0,0,0
a0738232,2,2.25,580,56,0,0,0
a0704803,0,0,0,0,5,31.2,338
a0968379,26,7.875,446,39,0,0,0
a0805766,0,1.0,437,28,1,11.0,229
a0848344,16,7.0,450,11,0,0,0
a0748762,8,5.375,446,17,0,0,0
a0609260,2,2.11111111111,446,2,0,0,0
a0901633,16,5.55555555556,477,86,2,41.5,187
a0949173,20,7.66666666667,446,128,8,13.5,173
a0967736,24,7.33333333333,499,124,1,0.0,214
a0900699,0,3.0,472,97,0,0,0
a0949077,24,6.25,427,128,1,30.0,91
a0800759,26,8.88888888889,1023,39,0,0,0
a0948108,22,9.28571428571,419,0,0,0,0
a0800166,26,8.75,440,7,0,0,0
a0748908,10,3.3,443,0,0,0,0
a0215937,0,0,0,0,1,39.0,372
a0552107,12,5.1,498,0,0,0,0
a0949607,2,1.0,442,39,0,0,0
a0948571,4,2.75,506,38,7,13.0,123
a0867884,14,7.71428571429,542,128,0,0,0
a0927617,18,7.1,548,17,0,0,0
a0808425,6,3.33333333333,446,105,0,0,0
a0900656,4,1.33333333333,596,103,9,7.88888888889,968
a0846739,4,1.44444444444,427,4,0,0,0
a0900187,20,9.75,427,128,5,4.4,92
a0849296,2,1.0,426,31,0,0,0
a0846867,4,1.6,525,4,0,0,0
a0905806,4,1.0,626,88,3,0.0,197
a0048243,0,0,0,3,0,0,0
a0905002,22,6.75,524,128,2,0.0,394
a0648027,26,8.875,446,45,0,0,0
a0909263,4,1.83333333333,508,15,0,0,0
a0848961,8,2.9,555,0,0,0,0
a0947444,0,0,0,21,0,0,0
a0702785,24,7.9,441,33,0,0,0
a0846907,2,1.42857142857,577,116,0,0,0
a0726599,0,0,0,0,3,0.0,0
a0906803,26,8.0,446,32,0,0,0
a0704130,6,2.75,431,79,0,0,0
a0849485,14,5.6,427,26,0,0,0
a0706829,18,7.55555555556,427,101,16,2.3125,208
a0902602,6,4.28571428571,595,51,0,0,0
a0726362,16,7.42857142857,434,128,2,45.0,135
