username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0907843,0,1.5,388,24,0,0,0
a0347426,0,1.0,0,0,0,0,0
a0747278,0,5.1,0,60,2,16.0,112
a0947209,0,3.85,118,250,1,37.0,652
a0704606,0,4.66666666667,104,132,2,18.0,335
a0208278,0,4.0,91,37,0,0,0
a0728417,0,1.66666666667,120,185,0,0,0
a0902776,0,4.35714285714,0,300,10,18.6,1314
a0803000,0,3.71428571429,0,0,3,6.0,61
a0300450,0,0,0,3,0,0,0
a0628166,0,1.41666666667,547,118,0,0,0
a0303939,0,1.0,0,58,0,0,0
a9006010,0,0,0,0,0,0,0
a0205020,0,2.0,155,107,0,0,0
a0948108,0,4.05,149,287,3,18.0,46
a0600482,0,1.52173913043,50,300,0,0,0
a0907112,0,3.45,133,294,1,29.0,237
a0867884,0,0,0,300,0,0,0
a0867886,0,1.66666666667,127,0,5,27.0,60
a0803390,0,2.0,77,131,4,0.0,74
a0648027,0,4.6,0,57,2,15.0,0
a0411651,0,1.0,319,24,1,8.0,262
a0725949,0,2.40625,160,25,0,0,0
a8302652,0,1.33333333333,154,118,0,0,0
a0626258,0,4.28571428571,0,123,3,11.3333333333,207
a0902602,0,5.0,99,169,1,15.0,77
a0026862,0,1.4,425,300,0,0,0
a9826273,0,1.66666666667,178,288,16,12.875,542
a0206728,0,1.4,298,27,0,0,0
a0806719,0,1.0,0,16,0,0,0
a0325144,0,1.0,0,6,0,0,0
a0703646,0,3.36363636364,0,94,0,0,0
a0207220,0,2.5,49,69,0,0,0
a0703839,0,2.4,0,46,0,0,0
a0604816,0,1.50847457627,89,170,7,15.7142857143,15
a0548944,0,5.64285714286,181,294,9,10.8888888889,487
a0648095,0,1.41666666667,247,99,0,0,0
a0949077,0,1.44444444444,536,300,3,12.6666666667,53
a0425399,0,4.5,71,175,4,23.0,51
a0405013,0,0,148,116,3,7.66666666667,76
a0802983,0,4.65,0,145,2,16.0,27
a0552107,0,0,104,2,0,0,0
a0909811,0,4.0,121,300,0,0,0
a0425733,0,1.72727272727,186,129,0,0,0
a0906419,0,3.0,49,33,2,7.5,199
a9171312,0,4.66666666667,0,34,0,0,0
a0603648,0,1.41666666667,321,279,1,15.0,25
a0505177,0,2.5,28,239,0,0,0
a0400378,0,2.16666666667,0,199,1,11.0,164
a0903622,0,1.52173913043,419,300,8,18.75,138
a0947423,0,3.15,0,181,1,15.0,110
a9407022,0,0,0,25,0,0,0
a0301535,0,3.25,158,31,0,0,0
a0448684,0,4.0,52,68,0,0,0
a0748986,0,4.85714285714,60,292,1,15.0,34
a0902337,0,1.33333333333,118,97,0,0,0
a0727356,0,4.85714285714,0,102,0,0,0
a9926034,0,0,0,0,0,0,0
a0901106,0,1.76923076923,0,7,0,0,0
a0801258,0,5.64285714286,0,293,19,16.1578947368,310
a0547157,0,5.38461538462,0,64,1,9.0,0
a8304692,0,4.64285714286,132,89,4,30.75,252
a9601577,0,1.83333333333,72,113,1,15.0,118
a0908233,0,3.5,0,72,0,0,0
a0908037,0,5.2,0,297,1,15.0,69
a9913255,0,3.45,0,103,3,18.0,425
a0140211,0,1.4,120,14,0,0,0
a0602891,0,0,0,101,0,0,0
a8905100,0,4.8,0,234,4,7.25,150
a0525137,0,2.33333333333,98,300,11,23.6363636364,377
a0660063,0,3.8,0,7,0,0,0
a0642656,0,2.0,230,294,12,18.9166666667,189
a1048538,0,0,0,22,0,0,0
a0967995,0,1.375,300,102,0,0,0
a0848375,0,1.5,426,245,1,15.0,63
a0347016,0,3.15384615385,0,189,0,0,0
a0707935,0,2.27272727273,66,176,1,15.0,62
a0849311,0,4.93333333333,0,57,0,0,0
a0302810,0,0,0,12,0,0,0
a0302749,0,3.0,397,144,12,12.25,105
a0800744,0,1.0,109,25,0,0,0
a0702950,0,2.33333333333,0,38,0,0,0
a0901130,0,1.5,56,300,2,23.0,499
a0327414,0,2.0,87,162,0,0,0
a0900706,0,2.5,826,9,0,0,0
a0901416,0,1.36036036036,283,258,0,0,0
a0500549,0,1.66666666667,298,282,3,30.0,2055
a0900078,0,4.33333333333,0,300,16,19.3125,446
a0909510,0,1.4,145,101,1,26.0,477
a0569583,0,4.3,0,300,17,12.7058823529,88
a9925474,0,4.6,0,11,0,0,0
a0569587,0,5.38461538462,0,300,1,15.0,14
a0607046,0,2.0,349,167,10,27.4,83
a0800120,0,1.72727272727,180,134,1,17.0,219
a0709939,0,3.0,464,97,0,0,0
a0642127,0,2.4,82,1,0,0,0
a0727938,0,3.84615384615,0,102,1,18.0,125
a0900364,0,3.0,146,298,5,21.4,680
a0553253,0,2.25,162,84,0,0,0
a0808547,0,1.46296296296,210,300,3,20.0,154
a0809068,0,5.66666666667,0,300,0,0,0
a0549646,0,2.1,0,5,0,0,0
a9527561,0,0,0,4,0,0,0
a0868098,0,2.5,310,30,1,23.0,67
a0702407,0,5.0,0,109,6,29.0,15
a0307851,0,3.0,232,97,2,0.0,354
a0903586,0,1.375,451,7,0,0,0
