service,course_id,user_id,task,subtask,author,comment_length
Abgabe,15,a0846907,1,6,someone003,501
Abgabe,15,a0846907,1,4,someone003,412
Abgabe,15,a0846907,3,2,someone003,821
Abgabe,15,a0846907,4,3,someone003,425
Abgabe,15,a0300363,1,7,someone003,418
Abgabe,15,a0300363,1,11,someone003,462
Abgabe,15,a0300363,1,13,someone003,412
Abgabe,15,a0300363,1,15,someone003,412
Abgabe,15,a0300363,2,12,someone001,232
Abgabe,15,a0300363,3,2,someone004,195
Abgabe,15,a0300363,4,15,someone003,412
Abgabe,15,a0300363,7,9,someone003,762
Abgabe,15,a0300363,7,8,someone003,406
Abgabe,15,a0300363,9,4,someone004,42
Abgabe,15,a0300363,10,8,someone003,412
Abgabe,15,a0300363,8,3,someone001,325
Abgabe,15,a0900354,1,1,someone003,412
Abgabe,15,a0900354,1,5,someone003,412
Abgabe,15,a0900354,3,2,someone004,165
Abgabe,15,a0900354,2,3,someone001,414
Abgabe,15,a0900354,4,3,someone003,580
Abgabe,15,a0900354,7,7,someone003,748
Abgabe,15,a0900354,9,1,someone004,43
Abgabe,15,a0900354,10,8,someone003,722
Abgabe,15,a0900354,10,5,someone003,466
Abgabe,15,a0900354,10,6,someone003,478
Abgabe,15,a0900354,8,2,someone001,411
Abgabe,15,a0900354,8,4,someone001,232
Abgabe,15,a0748762,1,1,someone003,412
Abgabe,15,a0748762,1,7,someone003,520
Abgabe,15,a0748762,1,3,someone003,406
Abgabe,15,a0748762,2,12,someone001,285
Abgabe,15,a0748762,3,2,someone004,87
Abgabe,15,a0748762,4,3,someone003,412
Abgabe,15,a0748762,9,1,someone004,64
Abgabe,15,a0748762,10,5,someone003,468
Abgabe,15,a0748762,8,4,someone001,258
Abgabe,15,a0609260,1,1,someone003,412
Abgabe,15,a0609260,1,7,someone003,412
Abgabe,15,a0609260,3,4,someone004,290
Abgabe,15,a0609260,2,1,someone001,283
Abgabe,15,a0609260,4,3,someone003,583
Abgabe,15,a0609260,9,1,someone004,169
Abgabe,15,a0609260,10,5,someone003,539
Abgabe,15,a0725867,1,15,someone003,412
Abgabe,15,a0725867,2,15,someone001,234
Abgabe,15,a0725867,3,1,someone004,145
Abgabe,15,a0725867,4,15,someone003,412
Abgabe,15,a0725867,4,3,someone003,412
Abgabe,15,a0725867,7,9,someone003,560
Abgabe,15,a0725867,7,12,someone003,592
Abgabe,15,a0725867,9,13,someone004,43
Abgabe,15,a0725867,10,5,someone003,406
Abgabe,15,a0725867,8,1,someone001,312
Abgabe,15,a0703564,1,1,someone003,412
Abgabe,15,a0703564,3,1,someone004,377
Abgabe,15,a0703564,4,1,someone003,708
Abgabe,15,a0703564,7,3,someone003,412
Abgabe,15,a0703564,10,3,someone003,758
Abgabe,15,a0703564,8,3,someone001,232
Abgabe,15,a0726736,1,1,someone003,412
Abgabe,15,a0726736,1,3,someone003,412
Abgabe,15,a0726736,2,13,someone001,253
Abgabe,15,a0726736,3,4,someone004,131
Abgabe,15,a0726736,4,15,someone003,412
Abgabe,15,a0726736,7,12,someone003,412
Abgabe,15,a0726736,9,6,someone004,100
Abgabe,15,a0726736,6,1,someone004,135
Abgabe,15,a0726736,10,13,someone003,406
Abgabe,15,a0726736,8,5,someone001,232
Abgabe,15,a0904202,1,15,someone003,412
Abgabe,15,a0904202,3,8,someone004,670
Abgabe,15,a0904202,2,13,someone001,232
Abgabe,15,a0904202,4,13,someone003,406
Abgabe,15,a0904202,7,6,someone003,578
Abgabe,15,a0904202,9,1,someone004,43
Abgabe,15,a0904202,10,5,someone003,531
Abgabe,15,a0904202,8,1,someone001,299
Abgabe,15,a1026524,1,1,someone003,412
Abgabe,15,a1026524,1,4,someone003,406
Abgabe,15,a1026524,2,1,someone001,339
Abgabe,15,a1026524,3,1,someone004,421
Abgabe,15,a1026524,4,3,someone003,406
Abgabe,15,a1026524,7,9,someone003,406
Abgabe,15,a1026524,9,1,someone004,186
Abgabe,15,a1026524,10,5,someone003,406
Abgabe,15,a1026524,8,5,someone001,224
Abgabe,15,a1005071,1,2,someone003,412
Abgabe,15,a1005071,2,2,someone003,406
Abgabe,15,a1005071,2,3,someone003,406
Abgabe,15,a1005071,2,4,someone003,406
Abgabe,15,a1005071,2,7,someone003,745
Abgabe,15,a1005071,3,12,someone003,463
Abgabe,15,a1005071,4,3,someone003,406
Abgabe,15,a1005071,5,4,someone003,486
Abgabe,15,a1005071,6,9,someone003,541
Abgabe,15,a1005071,7,9,someone003,406
Abgabe,15,a1005071,8,5,someone003,598
Abgabe,15,a1005071,9,1,someone003,412
Abgabe,15,a1005071,10,5,someone003,647
Abgabe,15,a1005071,11,1,someone003,616
Abgabe,15,a1005071,12,1,someone003,478
Abgabe,15,a0900075,1,1,someone003,412
Abgabe,15,a0900075,1,2,someone003,476
Abgabe,15,a0900075,2,8,someone003,680
Abgabe,15,a0900075,2,3,someone003,412
Abgabe,15,a0900075,3,2,someone003,709
Abgabe,15,a0900075,4,3,someone003,412
Abgabe,15,a0900075,5,3,someone003,743
Abgabe,15,a0900075,6,1,someone003,406
Abgabe,15,a0900075,7,9,someone003,418
Abgabe,15,a0900075,9,1,someone003,412
Abgabe,15,a0900075,8,3,someone003,634
Abgabe,15,a0900075,10,7,someone003,406
Abgabe,15,a0900075,11,1,someone003,562
Abgabe,15,a0900075,12,5,someone003,406
Abgabe,15,a0848445,1,1,someone003,412
Abgabe,15,a0848445,1,3,someone003,412
Abgabe,15,a0848445,2,2,someone003,577
Abgabe,15,a0848445,2,3,someone003,412
Abgabe,15,a0848445,3,4,someone003,553
Abgabe,15,a0848445,4,3,someone003,806
Abgabe,15,a0848445,5,4,someone003,614
Abgabe,15,a0848445,6,4,someone003,571
Abgabe,15,a0848445,7,8,someone003,696
Abgabe,15,a0848445,8,3,someone003,406
Abgabe,15,a0848445,9,1,someone003,412
Abgabe,15,a0848445,11,1,someone003,800
Abgabe,15,a0400378,1,1,someone004,166
Abgabe,15,a0400378,2,6,someone004,90
Abgabe,15,a0400378,3,1,someone004,197
Abgabe,15,a0400378,4,2,someone004,270
Abgabe,15,a0902602,1,1,someone004,128
Abgabe,15,a0902602,2,1,someone004,159
Abgabe,15,a0902602,3,2,someone004,111
Abgabe,15,a0902602,4,2,someone004,587
Abgabe,15,a0902602,5,2,someone004,694
Abgabe,15,a0902602,7,8,someone004,112
Abgabe,15,a0902602,8,3,someone004,901
Abgabe,15,a0902602,6,1,someone004,287
Abgabe,15,a0902602,11,5,someone004,170
Abgabe,15,a0847949,1,1,someone004,858
Abgabe,15,a0847949,2,1,someone004,212
Abgabe,15,a0847949,3,4,someone004,129
Abgabe,15,a0847949,7,9,someone004,28
Abgabe,15,a0847949,6,1,someone004,493
Abgabe,15,a0847949,8,5,someone004,333
Abgabe,15,a0847949,9,1,someone004,616
Abgabe,15,a0847949,11,5,someone004,202
Abgabe,15,a0847949,12,1,someone004,267
Abgabe,15,a1046719,1,1,someone004,92
Abgabe,15,a1046719,2,13,someone004,153
Abgabe,15,a1046719,3,14,someone004,153
Abgabe,15,a1046719,4,15,someone004,198
Abgabe,15,a1046719,5,6,someone004,103
Abgabe,15,a1046719,7,12,someone004,179
Abgabe,15,a1046719,8,4,someone004,278
Abgabe,15,a1046719,9,14,someone004,165
Abgabe,15,a1046719,6,15,someone004,61
Abgabe,15,a1046719,12,10,someone004,231
Abgabe,15,a0604305,1,1,someone004,307
Abgabe,15,a0604305,1,15,someone004,244
Abgabe,15,a0604305,1,13,someone004,216
Abgabe,15,a0604305,2,2,someone004,203
Abgabe,15,a0604305,3,4,someone004,97
Abgabe,15,a0604305,4,3,someone004,179
Abgabe,15,a0604305,7,8,someone004,350
Abgabe,15,a0604305,6,3,someone004,515
Abgabe,15,a0604305,9,1,someone004,315
Abgabe,15,a0548464,1,1,someone004,564
Abgabe,15,a0548464,1,13,someone004,388
Abgabe,15,a0548464,2,2,someone004,297
Abgabe,15,a0548464,2,3,someone004,668
Abgabe,15,a0548464,2,12,someone004,543
Abgabe,15,a0025614,1,1,someone004,169
Abgabe,15,a0025614,2,1,someone004,323
Abgabe,15,a0025614,3,2,someone004,314
Abgabe,15,a0804045,1,1,someone003,412
Abgabe,15,a0804045,1,3,someone003,406
Abgabe,15,a0804045,2,2,someone001,364
Abgabe,15,a0804045,4,2,someone003,541
Abgabe,15,a1047137,1,2,someone003,501
Abgabe,15,a1047137,1,15,someone003,412
Abgabe,15,a1047137,2,3,someone001,251
Abgabe,15,a1047137,3,2,someone004,227
Abgabe,15,a1047137,4,3,someone003,406
Abgabe,15,a1047137,7,2,someone003,555
Abgabe,15,a1047137,6,7,someone004,1145
Abgabe,15,a1047137,10,6,someone003,406
Abgabe,15,a1047137,8,5,someone001,1007
Abgabe,15,a0854644,1,4,someone003,412
Abgabe,15,a0854644,1,11,someone003,418
Abgabe,15,a0854644,2,3,someone001,251
Abgabe,15,a0854644,3,2,someone004,398
Abgabe,15,a0854644,4,3,someone003,570
Abgabe,15,a0854644,6,2,someone004,28
Abgabe,15,a0967774,1,15,someone003,412
Abgabe,15,a0967774,2,8,someone003,406
Abgabe,15,a0967774,3,6,someone003,537
Abgabe,15,a0967774,4,3,someone003,671
Abgabe,15,a0967774,5,4,someone003,714
Abgabe,15,a0967774,6,3,someone003,497
Abgabe,15,a0967774,7,6,someone003,619
Abgabe,15,a0967774,8,5,someone003,611
Abgabe,15,a0967774,9,13,someone003,406
Abgabe,15,a0967774,10,5,someone003,592
Abgabe,15,a0802821,1,1,someone003,412
Abgabe,15,a0802821,3,3,someone003,412
Abgabe,15,a0802821,4,3,someone003,568
Abgabe,15,a0802821,5,3,someone003,628
Abgabe,15,a0738232,1,1,someone003,544
Abgabe,15,a0738232,1,3,someone003,499
Abgabe,15,a0738232,1,11,someone003,412
Abgabe,15,a0738232,2,2,someone003,498
Abgabe,15,a0738232,2,3,someone003,418
Abgabe,15,a0738232,2,11,someone003,412
Abgabe,15,a0738232,3,2,someone003,602
Abgabe,15,a0738232,4,2,someone003,611
Abgabe,15,a0738232,6,1,someone003,424
Abgabe,15,a0738232,7,7,someone003,149
Abgabe,15,a0738232,8,5,someone003,412
Abgabe,15,a0738232,9,1,someone003,412
Abgabe,15,a0926601,1,1,someone004,149
Abgabe,15,a0926601,2,2,someone004,645
Abgabe,15,a0926601,2,1,someone004,199
Abgabe,15,a0926601,2,4,someone004,317
Abgabe,15,a0926601,2,6,someone004,176
Abgabe,15,a0926601,2,7,someone004,254
Abgabe,15,a0926601,3,1,someone004,130
Abgabe,15,a0926601,4,3,someone004,47
Abgabe,15,a0926601,5,3,someone004,136
Abgabe,15,a0926601,9,1,someone004,145
Abgabe,15,a0926601,6,3,someone004,164
Abgabe,15,a0926601,7,9,someone004,28
Abgabe,15,a0926601,8,5,someone004,190
