service,course_id,user,nid,id,subject_length,text_length
Forum,99,person002,656,113,44,223
Forum,99,a0707935,656,117,44,213
Forum,99,person002,656,118,44,1371
Forum,99,a0707935,656,135,44,1190
Forum,99,person002,656,141,44,217
Forum,99,a0707935,656,143,44,187
Forum,99,person002,656,144,44,354
Forum,99,a0707935,656,149,44,462
Forum,99,a0707935,656,153,44,1359
Forum,99,person005,656,154,44,884
Forum,99,a0707935,656,155,44,16
Forum,99,a0949607,656,121,18,929
Forum,99,person005,656,122,18,219
Forum,99,a0949607,656,123,18,0
Forum,99,a0949607,656,136,22,226
Forum,99,person002,656,137,22,249
Forum,99,a0949607,656,139,22,379
Forum,99,person002,656,140,22,414
Forum,99,a0949607,656,142,22,216
Forum,99,person002,656,145,22,535
Forum,99,a0949607,656,148,22,182
Forum,99,person002,656,151,22,47
Forum,99,a0525137,656,146,22,226
Forum,99,person002,656,147,22,289
Forum,99,a0626238,656,150,22,513
Forum,99,person002,656,152,22,120
Forum,99,a0701275,656,156,22,503
Forum,99,person002,656,157,22,49
Forum,99,a0701275,656,159,22,227
Forum,99,person002,656,160,22,99
Forum,99,a0701275,656,161,22,102
Forum,99,person002,656,165,22,96
Forum,99,a0701275,656,166,22,55
Forum,99,a0547157,656,158,32,155
Forum,99,person005,656,162,32,279
Forum,99,a0701275,656,163,30,160
Forum,99,a0701275,656,164,30,55
Forum,99,a0900078,656,253,30,0
Forum,99,a0525137,656,167,41,623
Forum,99,person002,656,168,41,328
Forum,99,person005,656,169,41,786
Forum,99,person005,656,170,41,76
Forum,99,a0525137,656,200,41,238
Forum,99,person005,656,173,41,442
Forum,99,a0867923,656,171,29,824
Forum,99,person002,656,172,29,435
Forum,99,a0949607,656,174,21,931
Forum,99,person005,656,175,21,0
Forum,99,a0949607,656,176,21,189
Forum,99,person005,656,177,21,64
Forum,99,a0949607,656,178,21,224
Forum,99,person005,656,179,21,48
Forum,99,a0949607,656,180,21,156
Forum,99,person005,656,181,21,125
Forum,99,a0949607,656,182,21,208
Forum,99,person005,656,183,21,475
Forum,99,a0949607,656,184,21,943
Forum,99,person005,656,186,21,583
Forum,99,a0949607,656,187,21,479
Forum,99,person005,656,189,21,431
Forum,99,a0949607,656,191,21,294
Forum,99,person005,656,194,21,0
Forum,99,a0949607,656,185,21,159
Forum,99,a0949607,656,188,21,283
Forum,99,a0701275,656,190,13,502
Forum,99,a0701275,656,192,13,165
Forum,99,person005,656,193,13,0
Forum,99,a0701275,656,195,13,0
Forum,99,person002,656,196,13,489
Forum,99,a0701275,656,197,13,196
Forum,99,person005,656,198,13,0
Forum,99,a0701275,656,199,13,115
Forum,99,a0906419,656,201,0,0
Forum,99,a0907112,656,204,0,176
Forum,99,a0708004,656,202,17,423
Forum,99,a0708004,656,203,17,160
Forum,99,a0907112,656,205,17,218
Forum,99,a0708004,656,206,17,155
Forum,99,a0907112,656,207,17,584
Forum,99,a0708004,656,209,17,0
Forum,99,a0708004,656,210,17,984
Forum,99,person002,656,214,17,393
Forum,99,a0808547,656,208,9,276
Forum,99,person002,656,211,9,8
Forum,99,a0808547,656,215,9,549
Forum,99,a0949607,656,217,9,329
