course_id,username
100,a0215937
100,a0704803
100,a0706829
100,a0726362
100,a0726599
100,a0805766
100,a0900187
100,a0900656
100,a0901633
100,a0905002
100,a0905806
100,a0948571
100,a0949077
100,a0949173
100,a0967736
100,person002
100,someone002
100,someone003
100,someone004
102,a0100236
102,a0207220
102,a0215744
102,a0406622
102,a0548702
102,a0704606
102,a0807706
102,a0867801
102,person006
102,person016
102,person029
112,a0100738
112,a0174030
112,a0300363
112,a0302749
112,a0309157
112,a0326641
112,a0327411
112,a0331060
112,a0347064
112,a0400378
112,a0526809
112,a0548702
112,a0600482
112,a0609260
112,a0627517
112,a0648267
112,a0653243
112,a0725867
112,a0725961
112,a0726362
112,a0735118
112,a0754148
112,a0805766
112,a0807771
112,a0808425
112,a0809068
112,a0846907
112,a0849311
112,a0867884
112,a0901282
112,a0903060
112,a0906074
112,a0925743
112,a0948571
112,a0968376
112,a1000312
112,a1001026
112,a1005067
112,a1005071
112,a1005724
112,a1006990
112,a1007950
112,a1008445
112,a1008470
112,a1026386
112,a1026524
112,a1046112
112,a1046364
112,a1046662
112,a1046996
112,a1047105
112,a1047109
112,a1047910
112,a1048113
112,a1048182
112,a1048183
112,a9126686
112,person002
112,person005
112,person026
112,person031
112,someone001
112,someone003
112,someone004
112,someone006
113,a0302749
113,a0307851
113,a0400378
113,a0405013
113,a0411651
113,a0425399
113,a0500549
113,a0525137
113,a0547157
113,a0548944
113,a0569583
113,a0569587
113,a0603648
113,a0604816
113,a0607046
113,a0626258
113,a0642656
113,a0648027
113,a0702407
113,a0704606
113,a0707935
113,a0727938
113,a0747278
113,a0748986
113,a0800120
113,a0801258
113,a0802983
113,a0803000
113,a0803390
113,a0808547
113,a0848375
113,a0867886
113,a0868098
113,a0900078
113,a0900364
113,a0901130
113,a0902602
113,a0902776
113,a0903622
113,a0906419
113,a0907112
113,a0908037
113,a0909510
113,a0947209
113,a0947423
113,a0948108
113,a0949077
113,a8304692
113,a8905100
113,a9601577
113,a9826273
113,a9913255
113,person003
113,person032
113,person033
118,a0406273
118,a0411651
118,a0426895
118,a0508477
118,a0509857
118,a0560628
118,a0607046
118,a0708004
118,a0708587
118,a0708589
118,a0726362
118,a0728417
118,a0738232
118,a0747278
118,a0748908
118,a0800120
118,a0807815
118,a0808547
118,a0827583
118,a0900075
118,a0900078
118,a0900656
118,a0900706
118,a0901633
118,a0901879
118,a0902776
118,a0903622
118,a0904164
118,a0904202
118,a0905002
118,a0906074
118,a0906419
118,a0906803
118,a0908023
118,a0908233
118,a0927617
118,a1001026
118,a1003830
118,a1005071
118,a1005281
118,a1005724
118,a1006494
118,a1026386
118,a1026524
118,a1047910
118,a1048182
118,a9847977
118,person035
118,person036
118,someone030
118,someone033
119,a0002696
119,a0301725
119,a0302749
119,a0405013
119,a0505154
119,a0548944
119,a0605491
119,a0626258
119,a0628166
119,a0642656
119,a0707698
119,a0725454
119,a0727356
119,a0727938
119,a0802359
119,a0807815
119,a0808547
119,a0821669
119,a0848344
119,a0900078
119,a0900364
119,a0901130
119,a0901633
119,a0902337
119,a0902776
119,a0906419
119,a0908037
119,a0908233
119,a0947209
119,a0948108
119,a7904809
119,a9708276
119,a9927331
119,person039
119,person040
119,person042
119,person043
126,a0331060
126,a0406273
126,a0508895
126,a0548450
126,a0607046
126,a0648196
126,a0749440
126,a0801998
126,a0804045
126,a0805002
126,a0805991
126,a0806937
126,a0840462
126,a0903622
126,a1001880
126,a1005281
126,a1007950
126,a1009697
126,a1026386
126,a1046490
126,a1047105
126,a9913255
126,person044
127,a0501468
127,a0628166
127,a0708004
127,a0708587
127,a0725961
127,a0738232
127,a0807771
127,a0867884
127,a0867886
127,a0900354
127,a0900699
127,a0904164
127,a0904202
127,a0905002
127,a0906074
127,a0928698
127,a1001026
127,a1004081
127,a1005724
127,a1006494
127,a1026386
127,a1026524
127,a1047105
127,a8708935
127,a9847977
127,person045
25,a0053513
25,a0127081
25,a0152012
25,a0226869
25,a0247800
25,a0301725
25,a0302376
25,a0309157
25,a0325144
25,a0405013
25,a0416460
25,a0425776
25,a0427321
25,a0427377
25,a0453511
25,a0501787
25,a0502414
25,a0525659
25,a0542912
25,a0547718
25,a0548450
25,a0551760
25,a0553253
25,a0553266
25,a0602891
25,a0603648
25,a0604799
25,a0609887
25,a0625984
25,a0626238
25,a0627874
25,a0647160
25,a0647997
25,a0648095
25,a0660063
25,a0700890
25,a0703839
25,a0704017
25,a0706011
25,a0707489
25,a0708404
25,a0708587
25,a0708589
25,a0725961
25,a0727938
25,a0749440
25,a0752758
25,a0800120
25,a0802016
25,a0802359
25,a0803000
25,a0803081
25,a0804232
25,a0804533
25,a0804579
25,a0805565
25,a0805991
25,a0806058
25,a0807281
25,a0807472
25,a0807815
25,a0808420
25,a0808429
25,a0808545
25,a0808547
25,a0808804
25,a0809260
25,a0847198
25,a0847929
25,a8326942
25,a9171312
25,a9305196
25,a9625604
25,a9717226
25,a9826273
25,person002
25,person003
25,person005
25,person011
25,someone001
25,someone006
25,someone008
25,someone010
26,a0103405
26,a0106489
26,a0127319
26,a0147204
26,a0301025
26,a0306296
26,a0308346
26,a0403563
26,a0427497
26,a0447271
26,a0448214
26,a0500725
26,a0501386
26,a0503810
26,a0505957
26,a0508172
26,a0508791
26,a0508895
26,a0547201
26,a0547590
26,a0549351
26,a0551760
26,a0601861
26,a0605491
26,a0608145
26,a0648715
26,a0700472
26,a0700826
26,a0701275
26,a0702407
26,a0703936
26,a0704017
26,a0704632
26,a0707698
26,a0725961
26,a0748365
26,a9708276
26,person001
26,person003
26,someone012
43,a0106489
43,a0225100
43,a0248717
43,a0447815
43,a0500725
43,a0508172
43,a0509867
43,person006
43,person015
43,someone015
58,a0403595
58,a0601426
58,a0603648
58,a0605890
58,a0628166
58,a0642656
58,a0700869
58,a0708587
58,a0709904
58,a0804542
58,a0805565
58,a0805991
58,a0806719
58,a0815197
58,a9906628
58,person002
58,person003
58,someone006
58,someone008
71,a02-0004
71,a0304516
71,a0347064
71,a0407817
71,a0427439
71,a0440007
71,a0460557
71,a0500549
71,a0501987
71,a0527563
71,a0553253
71,a0605890
71,a0609887
71,a0626238
71,a0706641
71,a0706829
71,a0707935
71,a0709904
71,a0726362
71,a0727137
71,a0802983
71,a0804542
71,a0805377
71,a0805570
71,a0807061
71,a0808364
71,a0808547
71,a0825528
71,a0828773
71,a0840462
71,a0848375
71,a0849076
71,a0849296
71,a0849311
71,a0849485
71,a0900078
71,a0900187
71,a0900266
71,a0900364
71,a0900465
71,a0900656
71,a0900767
71,a0900891
71,a0902150
71,a0902337
71,a0902776
71,a0903060
71,a0903622
71,a0905792
71,a0906298
71,a0906419
71,a0907060
71,a0907112
71,a0907843
71,a0908037
71,a0908233
71,a0946529
71,a0946588
71,a0947011
71,a0967736
71,a8631408
71,a8851502
71,a9171312
71,person002
71,person003
71,person005
71,person011
71,someone002
71,someone003
71,someone004
71,someone006
73,a0103405
73,a0207445
73,a0208319
73,a0302376
73,a0307851
73,a0348292
73,a0351972
73,a0405013
73,a0427321
73,a0448711
73,a0501357
73,a0547047
73,a0548450
73,a0548657
73,a0548944
73,a0549646
73,a0603666
73,a0607870
73,a0648095
73,a0648267
73,a0652049
73,a0700866
73,a0701202
73,a0701571
73,a0701760
73,a0702407
73,a0703445
73,a0704007
73,a0704017
73,a0705638
73,a0707489
73,a0708004
73,a0708587
73,a0725454
73,a0749440
73,a0749531
73,a0752758
73,a0801322
73,a0802359
73,a0803000
73,a0803081
73,a0804579
73,a0808545
73,a0809463
73,a0815197
73,a0826379
73,a0847198
73,a0847929
73,a0849579
73,a7111759
73,a8708935
73,a9071433
73,a9109706
73,a9708276
73,a9925852
73,person001
73,person003
73,person027
73,someone010
90,a0301725
90,a0506033
90,a0509842
90,a0509857
90,a0548450
90,a0603666
90,a0607046
90,a0608497
90,a0627554
90,a0627874
90,a0652049
90,a0700472
90,a0700866
90,a0706011
90,a0707698
90,a0708004
90,a0726654
90,a0727938
90,a0749440
90,a0753051
90,a0804579
90,a0806960
90,a0847282
90,a9908186
90,person006
94,a0026862
94,a0500549
94,a0500725
94,a0508791
94,a0604245
94,a0648715
94,a0707698
94,a0749440
94,a0847198
94,person015
94,someone015
99,a0127319
99,a0140418
99,a0300450
99,a0301725
99,a0348292
99,a0411651
99,a0500549
99,a0501987
99,a0525137
99,a0547047
99,a0547157
99,a0548657
99,a0548944
99,a0600689
99,a0606549
99,a0626238
99,a0628166
99,a0647160
99,a0648931
99,a0701275
99,a0701571
99,a0703936
99,a0707489
99,a0707935
99,a0708004
99,a0727938
99,a0752758
99,a0803000
99,a0808420
99,a0808547
99,a0821669
99,a0825528
99,a0848375
99,a0867923
99,a0900078
99,a0901130
99,a0902776
99,a0903622
99,a0906419
99,a0907112
99,a0907843
99,a0908037
99,a0908233
99,a0909510
99,a0947209
99,a0947423
99,a0948571
99,a0949607
99,a8302652
99,a8708935
99,a9601577
99,a9826273
99,a9913255
99,person002
99,person005
99,voonly
