username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0207220,0,0,0,6,1,23.0,32
a0809068,0,0,0,16,0,0,0
a9300912,0,0,0,1,0,0,0
a0502126,0,0,0,24,0,0,0
a0406622,0,0,0,14,1,18.0,349
a0215744,0,0,0,27,4,16.5,20
a0867801,0,0,0,13,5,25.8,61
a0807706,0,0,0,16,1,23.0,183
a0548702,0,0,0,14,1,23.0,17
a0206567,0,0,0,27,0,0,0
a0748654,0,0,0,18,0,0,0
a0704606,0,0,0,24,2,25.5,169
a0849333,0,0,0,12,0,0,0
a0208743,0,0,0,1,0,0,0
a0100236,0,0,0,24,4,25.5,62
a0347000,0,0,0,1,0,0,0
