username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a1047910,2,4.0,163,131,11,4.54545454545,65
a0747278,18,6.8,363,6,0,0,0
a1009697,4,1.75,182,65,0,0,0
a1046996,22,8.0,475,177,8,44.125,8
a0848961,22,7.55555555556,508,0,0,0,0
a1047330,0,1.0,0,0,0,0,0
a0048643,16,5.3,232,5,0,0,0
a0906298,20,7.375,395,15,0,0,0
a1007797,14,5.55555555556,333,70,0,0,0
a1007686,16,6.875,179,177,0,0,0
a9451075,18,7.0,269,487,0,0,0
a0327381,6,5.4,306,0,0,0,0
a0848247,0,2.55555555556,376,0,0,0,0
a0802821,4,2.0,628,10,0,0,0
a0900187,16,9.5,351,558,0,0,0
a0442073,22,7.4,232,4,0,0,0
a0405215,10,4.2,412,29,0,0,0
a1007950,20,7.0,469,378,1,34.0,606
a1005071,22,8.6,478,558,9,13.5555555556,0
a0968376,20,6.5,820,160,3,27.6666666667,1511
a1002394,14,7.6,379,24,0,0,0
a0625245,22,11.0,232,74,0,0,0
a0848977,0,1.625,0,0,0,0,0
a0600482,18,8.7,406,558,2,11.0,147
a0969329,22,7.8,406,303,0,0,0
a0754148,2,1.88888888889,692,242,2,38.0,142
a0749417,14,5.2,522,77,0,0,0
a1008543,14,5.5,569,26,0,0,0
a0867884,18,8.4,781,63,1,13.0,259
a0804258,0,0,0,31,0,0,0
a0327157,12,6.0,240,197,0,0,0
a1002946,10,3.3,406,7,0,0,0
a1006236,0,2.22222222222,69,254,0,0,0
a0847908,0,0,0,0,0,0,0
a0442189,2,1.625,148,15,0,0,0
a0725571,4,2.66666666667,683,109,0,0,0
a0725867,22,12.4,312,559,27,11.7777777778,635
a0606365,2,1.8,328,96,0,0,0
a0625075,12,5.3,232,108,0,0,0
a1046662,2,2.0,590,98,2,45.0,231
a1005067,10,3.375,406,255,15,20.6,0
a0902602,16,6.3,170,205,0,0,0
a0901282,22,8.4,262,436,14,13.1428571429,742
a0947444,10,2.8,589,88,0,0,0
a0625541,14,6.88888888889,249,27,0,0,0
a0604900,20,10.4,491,178,0,0,0
a0848752,0,2.25,129,42,0,0,0
a1008470,16,5.66666666667,468,67,1,0.0,380
a0025614,4,2.2,314,338,0,0,0
a0427746,0,1.0,0,11,0,0,0
a0300363,22,9.6,325,310,1,0.0,264
a0904202,20,8.8,299,0,0,0,0
a0648267,22,9.1,232,105,3,27.6666666667,5
a0846907,6,2.1,425,152,2,8.0,179
a1046364,22,9.4,610,558,7,23.2857142857,895
a1006990,18,7.28571428571,407,4,1,12.0,1014
a0827583,0,1.0,406,10,0,0,0
a0649314,22,8.55555555556,406,13,0,0,0
a1000623,22,8.9,685,104,0,0,0
a0548464,0,1.6,543,26,0,0,0
a1008445,14,7.4,184,132,1,31.0,0
a0553687,2,2.6,267,19,0,0,0
a1005281,20,9.5,264,79,0,0,0
a0848344,16,6.75,232,66,0,0,0
a0901879,20,8.5,232,545,0,0,0
a1000175,20,9.3,485,15,0,0,0
a0925926,24,5.7,449,31,0,0,0
a0901082,8,5.0,412,10,0,0,0
a1000675,0,1.77777777778,0,0,0,0,0
a1004337,4,3.44444444444,406,161,0,0,0
a0854644,2,2.88888888889,28,15,0,0,0
a1007187,18,8.2,323,555,0,0,0
a1004081,2,1.0,652,2,0,0,0
a1000118,0,1.0,0,13,0,0,0
a1046490,6,2.875,501,335,0,0,0
a0948571,4,2.66666666667,455,3,1,13.0,81
a0808915,18,7.44444444444,217,16,0,0,0
a0627517,14,7.25,232,19,3,0.0,0
a0227155,14,6.3,234,10,0,0,0
a0227089,0,1.22222222222,427,69,0,0,0
a0804045,2,1.4,541,29,0,0,0
a0928698,16,5.8,685,274,0,0,0
a0808425,6,4.5,689,431,1,29.0,118
a0647460,4,1.0,406,116,0,0,0
a1048113,20,8.2,193,242,2,0.0,155
a0901633,12,5.2,232,78,0,0,0
a0526809,24,8.1,232,292,2,5.5,224
a1005929,10,4.11111111111,232,12,0,0,0
a0400378,2,2.33333333333,270,143,1,15.0,805
a1006112,18,5.1,674,124,0,0,0
a1048084,0,1.0,183,44,0,0,0
a1046719,20,9.1,231,558,0,0,0
a0225981,4,2.5,94,37,0,0,0
a0303697,0,1.22222222222,158,0,0,0,0
a1005320,22,7.77777777778,680,100,0,0,0
a0848445,18,7.2,800,156,0,0,0
a1026386,0,0,0,45,1,14.0,619
a1002949,16,5.75,165,67,0,0,0
a0804058,2,1.875,152,56,0,0,0
a0726736,22,8.8,232,223,0,0,0
a1001026,22,7.7,406,558,10,15.1,161
a0925076,20,7.11111111111,464,154,0,0,0
a0908358,14,5.6,406,44,0,0,0
a0825610,12,5.0,449,47,0,0,0
a0411651,22,6.9,349,95,0,0,0
