username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a1008192,10,5.4,224,270,0,0,0
a0900354,18,6.11111111111,232,558,0,0,0
a0347064,2,4.5,28,489,9,13.3333333333,547
a9925868,22,7.9,234,175,0,0,0
a1047017,22,10.2,85,350,0,0,0
a1046301,4,3.625,28,29,0,0,0
a0726362,16,7.2,891,558,6,19.0,117
a0425733,18,7.0,858,4,0,0,0
a1048183,20,6.9,584,365,2,29.0,760
a1048182,14,5.3,334,389,60,14.5,224
a0002380,2,1.0,412,19,0,0,0
a0738232,10,4.1,412,7,0,0,0
a0430574,2,0,1057,4,0,0,0
a0006731,20,5.8,225,558,0,0,0
a0651610,16,8.1,688,52,0,0,0
a1046389,2,2.16666666667,0,6,0,0,0
a0735118,14,5.7,232,71,2,31.0,490
a1006376,16,6.7,306,6,0,0,0
a0803615,4,3.88888888889,291,298,0,0,0
a1003830,12,8.28571428571,632,130,0,0,0
a1047924,0,0,0,13,0,0,0
a0727910,12,6.4,215,5,0,0,0
a0928666,18,7.2,726,557,0,0,0
a1006494,20,8.9,406,70,0,0,0
a1026524,12,6.77777777778,224,558,34,6.58823529412,0
a0900656,6,4.0,238,286,0,0,0
a0174030,22,8.2,232,558,2,24.0,354
a0806710,18,6.4,232,558,0,0,0
a0900891,0,0,0,2,0,0,0
a0969257,4,2.3,0,0,0,0,0
a0403434,2,1.625,405,92,0,0,0
a0925743,14,6.0,232,27,1,10.0,1253
a0849311,22,8.1,407,4,1,11.0,255
a0852942,2,1.66666666667,0,0,0,0,0
a0331060,24,8.6,502,57,3,32.0,90
a0807771,16,5.8,406,410,1,0.0,180
a0847949,12,6.0,267,199,0,0,0
a1009319,22,7.66666666667,605,138,0,0,0
a0205403,0,0,0,13,0,0,0
a0307994,22,8.9,511,60,0,0,0
a0806960,10,2.71428571429,540,17,0,0,0
a0604305,12,4.0,315,69,0,0,0
a0100738,20,9.1,233,176,1,12.0,553
a0548702,18,7.8,495,32,2,12.0,255
a1005724,22,6.33333333333,406,169,5,24.6,793
a0347735,20,5.6,102,37,0,0,0
a1007378,2,2.0,408,23,0,0,0
a0604211,2,2.0,406,79,0,0,0
a0851619,2,3.75,333,26,0,0,0
a0327411,18,7.2,437,209,1,26.0,177
a0609260,14,5.3,539,11,1,0.0,0
a0748908,18,6.6,336,7,0,0,0
a1047137,8,4.0,1007,326,0,0,0
a0800632,22,7.6,705,84,0,0,0
a0900075,22,8.0,406,334,0,0,0
a0427279,18,6.0,446,1,0,0,0
a0703564,20,6.2,232,73,0,0,0
a0500355,4,2.5,501,103,0,0,0
a1047881,0,0,0,17,0,0,0
a0906074,22,8.6,502,79,2,11.5,335
a1001948,2,1.77777777778,271,14,0,0,0
a0967774,22,9.0,592,22,0,0,0
a0805766,4,1.0,412,218,12,8.75,92
a0748762,16,6.7,258,59,0,0,0
a1002605,6,5.5,431,5,0,0,0
a0324995,16,8.0,248,18,0,0,0
a0648196,4,3.0,317,19,0,0,0
a0325039,10,4.44444444444,251,22,0,0,0
a0709939,6,2.5,369,3,0,0,0
a0326641,16,6.5,84,121,1,20.0,194
a1046225,14,6.2,222,558,0,0,0
a0653243,18,7.5,425,75,3,16.3333333333,144
a0828609,20,7.6,387,32,0,0,0
a0903060,20,9.3,561,295,8,19.75,71
a0309157,6,4.2,232,94,4,26.75,110
a9126686,14,5.0,234,149,2,24.0,228
a1009464,2,1.0,516,146,0,0,0
a1000312,22,8.77777777778,234,265,2,12.0,192
a0302749,6,2.25,418,127,6,10.6666666667,101
a0904164,16,5.2,239,513,0,0,0
a0809068,22,10.8,239,558,2,20.0,337
a1047105,2,2.44444444444,113,69,1,33.0,220
a1046112,22,6.5,406,53,3,36.3333333333,426
a0442160,2,1.44444444444,277,45,0,0,0
a0926601,18,5.8,407,0,0,0,0
a0725961,18,9.2,65,100,5,16.8,168
a1047109,20,7.2,315,356,21,15.4761904762,0
a1006799,14,7.55555555556,232,80,0,0,0
a0809192,4,2.375,487,17,0,0,0
a0560628,8,5.7,232,264,0,0,0
a0649474,4,2.44444444444,765,230,0,0,0
