username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0648931,4,1.0,122,209,0,0,0
a0447271,0,0,0,513,14,23.7142857143,28
a0601861,8,1.0,373,553,3,25.0,0
a0703445,2,0,556,50,0,0,0
a0250018,0,0,878,19,0,0,0
a0706105,4,0,674,75,0,0,0
a0709904,0,0,623,37,0,0,0
a0700472,12,0,17,562,52,17.5384615385,81
a0103405,0,1.2,596,517,11,22.2727272727,24
a0503810,4,1.0,42,94,2,0.0,259
a0405946,2,1.0,318,31,0,0,0
a0551760,4,1.0,513,151,8,8.875,0
a0804232,0,0,0,562,0,0,0
a0707767,8,0,236,2,0,0,0
a0147204,8,1.0,186,562,22,9.63636363636,207
a0500725,4,0,17,376,15,10.9333333333,605
a0747243,0,0,584,81,0,0,0
a0327414,0,0,0,12,0,0,0
a0349293,4,1.0,324,261,0,0,0
a0348172,6,0,389,173,0,0,0
a9706196,8,1.0,455,63,0,0,0
a0403563,0,0,0,482,16,25.8125,3566
a0208319,0,1.0,667,104,0,0,0
a0425347,8,0,45,233,0,0,0
a0202972,8,0,53,107,0,0,0
a0303089,0,0,1153,0,0,0,0
a0127319,4,1.0,315,225,2,43.0,108
a0308346,0,0,530,293,1,0.0,0
a9925474,4,0,134,9,0,0,0
a0508209,0,1.05882352941,661,62,0,0,0
a0348292,2,0,335,25,0,0,0
a0547590,4,1.0,34,88,1,0.0,105
a0450460,0,0,518,2,0,0,0
a0703936,4,0,695,550,15,21.2,605
a0547201,6,1.0,17,562,11,25.4545454545,228
a0604816,0,0,0,7,0,0,0
a0548944,0,0,0,86,0,0,0
a0707698,4,1.0,170,532,5,19.0,256
a0608145,4,1.0,17,205,2,19.0,0
a0448711,0,1.0,713,0,0,0,0
a0749666,4,1.0,168,562,0,0,0
a0701760,2,0,531,79,0,0,0
a0701275,4,0,35,562,18,30.4444444444,1027
a0709939,0,0,0,2,0,0,0
a0704017,0,0,0,79,2,26.0,187
a0505957,4,1.0,393,31,4,27.0,346
a0407995,8,1.0,121,31,0,0,0
a0427497,6,0,75,257,25,17.84,254
a0608497,4,1.0,42,27,0,0,0
a0401316,2,1.0,240,366,0,0,0
a0704632,10,0,34,141,5,5.0,181
a0648715,10,0,278,221,8,24.75,273
a0607375,0,0,585,128,0,0,0
a0447735,6,0,375,33,0,0,0
a0604245,8,0,214,386,0,0,0
a0426111,4,1.0,2,435,0,0,0
a0708627,8,0,86,206,0,0,0
a0106489,6,1.0,2,370,23,21.2173913043,0
a0746438,0,0,0,8,0,0,0
a0448214,0,1.08695652174,794,54,1,23.0,77
a9708276,0,1.0,773,197,2,24.0,452
a0549351,4,0,186,234,5,10.6,382
a0351916,0,0,534,34,0,0,0
a0508791,0,1.0,775,300,5,21.0,403
a0700826,8,0,133,466,62,16.7741935484,387
a0509511,4,1.0,97,191,0,0,0
a0748365,6,1.0,117,562,26,14.0,0
a0606334,0,1.06896551724,679,238,0,0,0
a0725961,4,1.0,17,111,1,32.0,57
a0301025,8,1.0,71,310,38,14.7105263158,171
a0702407,10,0,742,140,10,35.6,22
a0748924,4,1.0,478,104,0,0,0
a0501386,4,1.0,89,150,7,0.0,0
a0605299,4,1.0,79,44,0,0,0
a0605491,14,0,828,263,4,16.5,233
a0508172,0,1.0,621,342,4,28.0,1264
a0508895,14,1.0,152,559,10,23.7,679
a0306296,8,1.0,17,562,24,18.75,151
