username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a0907843,0,0,0,194,0,0,0
a0026862,0,0,0,236,0,0,0
a0607870,0,0,0,140,0,0,0
a0806960,0,0,0,60,0,0,0
a0604305,0,0,0,13,0,0,0
a0807815,0,0,0,145,4,19.5,652
a0806719,0,0,0,184,0,0,0
a0947209,0,0,0,225,2,30.0,142
a0548702,0,0,0,10,0,0,0
a0642656,0,0,0,92,3,13.0,6
a0347735,0,0,0,94,0,0,0
a0547157,0,0,0,61,0,0,0
a0208278,0,0,0,43,0,0,0
a0902337,0,0,0,178,2,15.5,106
a0301725,0,0,0,4,3,9.0,68
a0349293,0,0,0,49,0,0,0
a0802359,0,0,0,223,2,31.0,140
a0900706,0,0,0,29,0,0,0
a0002696,0,0,0,144,13,24.7692307692,148
a0727356,0,0,0,236,4,21.75,81
a0208319,0,0,0,37,0,0,0
a0900078,0,0,0,224,11,26.9090909091,330
a0406273,0,0,0,36,0,0,0
a9708276,0,0,0,146,1,44.0,521
a0728417,0,0,0,138,0,0,0
a0909510,0,0,0,143,0,0,0
a0800120,0,0,0,14,0,0,0
a0901106,0,0,0,45,0,0,0
a9927331,0,0,0,30,2,21.0,44
a0808364,0,0,0,16,0,0,0
a0505154,0,0,0,108,6,32.5,692
a0405013,0,0,0,216,4,27.75,365
a0902776,0,0,0,236,3,9.0,139
a0628166,0,0,0,182,8,16.875,280
a0848344,0,0,0,22,5,11.2,38
a0603648,0,0,0,225,0,0,0
a7904809,0,0,0,19,1,14.0,122
a0548944,0,0,0,236,4,35.0,150
a0707698,0,0,0,195,9,37.4444444444,703
a0908233,0,0,0,109,2,22.0,798
a0302749,0,0,0,106,5,21.0,64
a0908037,0,0,0,226,1,34.0,520
a0748762,0,0,0,1,0,0,0
a0804792,0,0,0,1,0,0,0
a0948108,0,0,0,212,7,35.1428571429,370
a0505957,0,0,0,25,0,0,0
a0752758,0,0,0,157,0,0,0
a0725454,0,0,0,61,1,34.0,208
a0802983,0,0,0,170,0,0,0
a0826379,0,0,0,224,0,0,0
a0727938,0,0,0,68,4,20.5,327
a0426895,0,0,0,36,0,0,0
a0900364,0,0,0,236,3,18.6666666667,373
a0805991,0,0,0,33,0,0,0
a0605491,0,0,0,103,5,21.6,58
a0967995,0,0,0,111,0,0,0
a0906419,0,0,0,82,3,16.3333333333,0
a9602933,0,0,0,116,0,0,0
a0627517,0,0,0,31,0,0,0
a0808547,0,0,0,236,6,33.8333333333,231
a0900187,0,0,0,66,0,0,0
a0901633,0,0,0,80,1,25.0,504
a9949221,0,0,0,117,0,0,0
a0526131,0,0,0,23,0,0,0
a0821669,0,0,0,109,1,8.0,76
a0101143,0,0,0,75,0,0,0
a0411651,0,0,0,47,0,0,0
a0207445,0,0,0,22,0,0,0
a0848375,0,0,0,220,0,0,0
a0702785,0,0,0,124,0,0,0
a8302652,0,0,0,52,0,0,0
a9927115,0,0,0,69,0,0,0
a0707935,0,0,0,190,0,0,0
a1002582,0,0,0,32,0,0,0
a0626258,0,0,0,184,1,9.0,191
a0448711,0,0,0,11,0,0,0
a0901130,0,0,0,236,3,31.0,69
a0902602,0,0,0,25,0,0,0
a0302810,0,0,0,140,0,0,0
a0947423,0,0,0,184,0,0,0
a0901416,0,0,0,191,0,0,0
